StudyHours,Attendance,PreviousGrade,FinalScore
0.92,87.2,8.4,9.59
4.72,94.0,16.5,16.22
4.12,92.7,16.6,14.8
1.65,72.5,18.9,10.06
4.03,89.4,19.3,14.82
4.76,75.0,12.4,13.11
3.72,91.1,15.7,13.92
3.69,60.5,15.3,11.34
4.19,93.9,8.6,12.26
4.39,87.9,16.7,13.9
3.91,65.9,11.3,9.27
0.39,70.0,13.1,6.84
1.04,72.4,15.4,11.88
0.6,80.5,14.1,9.25
2.33,96.2,11.4,12.35
0.33,98.8,18.5,10.29
2.75,84.1,9.1,11.04
4.62,64.4,15.2,10.76
4.91,99.1,10.2,18.21
0.19,98.4,19.1,11.03
3.41,63.5,19.2,10.6
0.72,86.6,16.6,12.77
4.31,86.7,18.6,16.07
0.16,86.4,17.2,7.96
0.52,89.0,15.8,11.62
1.62,60.2,17.0,11.29
0.03,72.4,18.9,8.48
3.31,73.5,10.6,11.72
1.03,86.0,16.8,10.79
3.6,63.8,10.2,8.53
4.75,71.1,13.5,11.69
2.35,67.0,12.1,9.17
2.35,61.9,15.6,8.23
4.98,78.9,15.7,16.86
1.57,68.2,18.8,10.35
4.43,79.3,18.1,12.63
3.57,68.2,8.8,11.29
0.05,91.7,10.1,9.63
1.49,64.5,8.5,10.19
3.6,90.8,16.5,13.32
0.23,86.3,12.2,10.46
4.29,66.3,19.7,13.13
4.56,75.1,10.6,11.95
3.8,75.3,19.5,13.0
4.06,78.2,17.1,12.99
2.99,87.0,17.1,15.62
4.04,60.6,15.3,10.29
2.34,66.6,18.6,10.58
2.04,87.9,10.8,10.5
3.51,63.7,18.4,12.79
2.33,93.8,18.6,14.14
1.55,74.8,15.3,12.09
1.32,61.5,15.9,7.63
2.19,90.7,10.7,11.71
1.91,69.8,13.9,9.95
3.77,99.9,15.0,13.78
3.92,96.9,11.8,13.53
3.99,95.4,8.5,9.49
4.22,95.4,19.4,15.6
1.81,62.9,17.7,10.72
1.85,61.1,12.4,6.98
4.19,76.0,14.4,12.28
0.9,76.8,15.1,12.66
3.51,76.4,19.5,12.62
2.62,83.9,14.7,12.91
3.33,91.4,16.7,13.27
3.48,91.5,17.6,12.74
3.34,97.2,9.2,10.91
1.18,87.1,15.0,10.75
0.12,95.1,19.2,14.18
4.76,63.6,17.9,13.89
4.49,61.0,19.1,11.51
2.52,78.1,9.9,11.84
3.31,95.3,17.3,13.87
0.46,75.4,11.3,8.01
2.29,64.4,18.5,11.8
2.94,65.1,17.4,10.04
3.5,69.2,12.5,8.61
1.1,94.5,15.0,13.8
0.46,73.4,13.6,6.72
4.81,94.4,19.3,16.31
4.24,97.7,14.6,11.99
0.89,91.0,8.9,9.96
4.11,96.9,14.4,13.76
4.06,70.2,8.2,9.74
0.91,67.8,9.6,5.08
4.02,69.7,13.9,11.52
1.91,60.7,13.5,9.35
1.67,97.2,8.8,9.69
0.8,68.2,12.1,8.78
2.96,85.2,11.4,13.06
3.07,71.4,11.4,9.5
2.56,81.6,13.3,11.85
0.5,77.4,8.4,6.82
3.98,88.8,8.4,12.43
1.58,68.0,10.8,10.06
1.32,71.5,16.6,14.27
3.21,65.5,19.2,13.41
0.92,73.0,17.1,11.18
4.55,93.3,8.9,14.84
3.24,98.5,17.9,12.94
3.95,60.6,17.8,13.44
1.7,93.8,18.1,12.2
2.14,89.4,16.7,11.71
1.26,63.2,11.1,10.19
1.26,66.4,13.9,9.85
2.08,94.6,13.3,14.13
3.94,67.8,8.4,8.02
2.52,96.3,14.5,13.31
4.17,81.6,11.2,11.31
0.56,99.4,19.4,12.57
1.45,80.2,16.0,8.41
0.18,65.2,17.7,10.95
4.57,84.2,8.4,12.23
0.32,77.8,16.5,8.93
2.71,62.8,17.6,9.13
3.37,92.7,13.5,11.71
1.02,96.0,11.0,13.07
4.9,98.6,13.8,14.46
4.9,85.8,14.6,13.28
1.19,83.3,13.2,11.37
0.7,67.8,11.8,8.74
3.25,98.6,16.0,14.32
2.57,89.4,18.7,14.51
3.02,86.7,11.2,12.21
3.09,87.8,18.6,14.92
4.78,93.7,8.7,11.13
3.84,73.7,16.3,12.56
1.56,64.5,12.1,8.62
3.74,99.6,14.3,14.15
2.25,61.3,12.3,9.33
4.88,70.9,9.0,10.28
2.39,79.7,10.0,9.91
0.05,61.6,19.8,11.11
4.58,72.4,13.0,11.29
1.38,94.8,19.4,11.36
4.11,85.0,14.2,13.95
3.06,83.4,18.8,14.73
3.72,60.7,13.3,10.25
3.69,77.1,19.9,13.7
4.53,64.9,13.7,10.41
4.17,75.5,11.1,11.31
3.23,75.5,10.1,12.35
1.63,77.0,8.9,10.6
2.47,72.6,9.3,9.98
1.39,91.2,16.2,11.75
1.68,78.5,12.4,8.02
2.3,96.3,18.5,14.21
2.12,73.8,10.4,10.54
1.45,65.7,19.2,12.43
1.52,74.2,10.3,12.43
1.56,94.9,11.2,11.93
0.96,74.4,12.1,10.92
2.91,92.8,11.2,10.5
0.46,87.7,13.0,12.22
1.24,70.3,17.6,12.0
0.85,67.7,8.9,10.13
3.53,64.5,10.9,11.25
1.4,78.0,8.6,9.95
0.5,87.8,17.3,13.69
4.11,71.8,9.4,9.91
2.19,98.2,14.1,13.72
4.02,60.6,18.4,13.67
1.6,91.4,11.8,10.12
1.73,66.8,9.4,7.12
